number,locationid,BEATid,ZONEid,dateid,crimeid_x,count_crime_type
102961486,276,27,4,9,3,1
102961575,118,27,4,9,2,1
102961745,465,47,5,9,5,1
102961780,139,25,4,9,3,1
102961848,466,47,5,9,2,1
102961865,467,33,2,9,3,1
102961869,468,1,1,9,1,1
102961899,469,11,3,9,5,1
102962014,470,40,4,9,2,1
102962061,142,6,3,9,3,1
102962093,41,29,6,9,3,1
102962115,471,32,3,9,3,1
102962135,472,37,5,9,4,1
102952514,473,4,1,9,7,1
102960148,474,30,4,9,4,1
102960284,475,24,3,9,7,1
102960346,476,48,4,9,2,1
102960367,282,9,4,9,2,1
102960369,477,27,4,9,1,1
102960421,478,43,4,9,5,1
102960497,479,24,3,9,4,1
102960519,480,15,5,9,2,1
102960531,481,39,5,9,3,1
102960558,482,11,3,9,1,1
102960587,483,3,3,9,8,1
102960593,484,60,6,9,7,1
102960681,485,2,2,9,1,1
102960736,484,60,6,9,2,1
102960770,486,44,2,9,8,1
102960795,487,17,1,9,5,1
102960825,488,26,4,9,3,1
102960826,489,3,3,9,2,1
102960875,490,36,2,9,2,1
102960876,491,66,1,9,1,1
102960928,492,34,2,9,7,1
102960944,493,63,5,9,11,1
102962510,494,44,2,9,5,1
102962222,495,47,5,9,1,1
102962235,496,6,3,9,4,1
102962284,497,19,1,9,5,1
102962298,498,33,2,9,5,1
102962314,499,14,4,9,3,1
102962349,500,14,4,9,3,1
102952816,501,36,2,9,1,1
102952832,191,48,4,10,2,1
102942462,502,12,3,10,8,1
102952646,503,16,2,10,5,1
102952695,504,6,3,10,2,1
102952777,505,15,5,10,5,1
102950010,102,9,4,10,2,1
102950054,506,9,4,10,2,1
102950093,507,10,2,10,1,1
102950278,508,15,5,10,2,1
102950292,509,27,4,10,1,1
102950356,510,10,2,10,8,1
102950434,511,10,2,10,4,1
102950477,512,7,5,10,7,1
102950559,141,48,4,10,2,1
102950567,513,34,2,10,2,1
102950595,514,9,4,10,2,1
102950596,515,55,2,10,2,1
102950739,516,53,5,10,7,1
102950851,517,64,3,10,3,1
102950871,518,13,6,10,2,1
102950878,519,28,5,10,2,1
102950910,520,22,5,10,8,1
